Country Name,Year,Data.Daily cigarettes,Data.Percentage.Male,Data.Percentage.Female,Data.Percentage.Total,Data.Smokers.Total,Data.Smokers.Female,Data.Smokers.Male,GDP per capita,Unemployment,Literacy,Health expenditure
Algeria,2006,21.6,12.3,23.700001,0.69999999,3051530,90939,2960591,3500.13460988746,12.27,0.80408,117.43313599
Brazil,2006,28.799999,15.3,18.799999,11.9,20918224,8390628,12527597,5866.02431314405,9.69,0.82326,483.91915894
Burkina Faso,2006,2.4000001,10.8,17.9,4.1999998,797067,160277,636790,457.342074945007,3.658,0.2144,20.64653969
Colombia,2006,15.5,11.4,16.799999,6.3000002,3482269,988070,2494199,3782.60350413031,10.963,0.88514,239.38911438
El Salvador,2006,16.9,9.3000002,17.4,2.4000001,367639,51575,316063,2651.43088765876,6.57,0.82304,230.50076294
Indonesia,2006,10.8,28.6,53.799999,3.5999999,45525517,2845032,42680483,1572.79793977879,7.55,0.93343,44.80917358
Kuwait,2006,20.9,23.200001,35.299999,3.0,418233,20200,398033,42970.6631297395,1.3,0.99728,782.64221191
Maldives,2006,26.1,18.700001,31.0,6.3000002,37745,6353,31391,5010.16342385998,8.783,0.9866,403.23681641
Mali,2006,8.1000004,10.2,17.5,3.0,672540,98679,573861,506.911838801283,1.311,0.32249,27.65664291
Mexico,2006,14.3,10.1,16.0,4.9000001,7708635,1964860,5743775,9125.3877388645,3.57,0.89006,516.06396484
Pakistan,2006,16.1,16.700001,28.1,4.9000001,16826083,2385721,14440362,770.843339358325,0.58,0.60954,24.65777876
Peru,2006,5.0999999,11.2,17.0,5.3000002,2138808,512763,1626045,3123.32015935927,4.17,0.81867,135.87088013
Senegal,2006,13.0,7.9000001,15.5,1.0,513616,32203,481413,1038.57909218166,10.03,0.44028,39.08563995
Spain,2006,22.0,26.799999,31.1,22.6,10088801,4341839,5746962,28389.0785799873,8.45,0.98316,2242.15893555
Sri Lanka,2006,8.3999996,11.5,22.4,0.89999998,1725276,71801,1653475,1423.19062298397,6.5,0.96895,64.823349
Tonga,2006,10.7,35.900002,46.5,25.700001,22601,8244,14356,2751.96001692789,1.09,1.00534,149.31607056
Uganda,2006,3.7,9.3999996,17.200001,1.8,1421636,132773,1288863,346.768462407263,2.276,0.78165,31.62604523
Uruguay,2006,23.799999,24.4,28.799999,20.4,620714,273202,347512,5942.1266667126,10.84,0.9873,495.71600342
Azerbaijan,2007,15.5,21.0,42.700001,0.80000001,1395636,29041,1366595,3851.33101236931,6.33,0.9954,74.08601379
Bolivia,2007,2.8,26.6,41.0,12.7,1609085,390728,1218357,1351.03515410788,2.643,0.83362,63.45651245
Brazil,2007,28.1,14.9,18.4,11.6,20738291,8298439,12439851,7323.19034003928,9.28,0.83012,600.63568115
Burkina Faso,2007,2.3,10.6,18.1,3.7,812302,144757,667545,516.75032795654,3.3,0.30501,27.04532623
Cameroon,2007,13.8,7.1999998,13.5,0.89999998,765952,47713,718240,1311.00296320709,3.06,0.66212,48.61966705
Colombia,2007,14.7,11.2,16.6,6.0999999,3483700,974981,2508720,4762.08297292255,10.25,0.88673,309.03665161
Dominican Republic,2007,16.1,10.7,13.0,8.3999996,698668,275927,422742,4676.07911069651,5.16,0.87606,191.22145081
Ecuador,2007,19.799999,6.0,9.1000004,3.0,584874,148242,436632,3579.03224391806,3.14,0.87131,191.11447144
El Salvador,2007,17.200001,9.1999998,17.200001,2.4000001,369778,51605,318172,2814.58988893523,6.41,0.80273,238.63465881
Ethiopia,2007,6.0,3.9000001,7.0,0.89999998,1695040,190390,1504650,240.347971955032,2.436,0.40367,11.78915215
Greece,2007,23.700001,39.099998,45.900002,32.599998,3709871,1580154,2129716,28863.9732885018,8.4,0.90104,2426.75952148
Honduras,2007,14.3,11.5,21.200001,2.0999999,507876,46653,461223,1559.88604406996,3.21,0.82886,126.1158905
Kuwait,2007,21.1,23.5,35.700001,3.0,447159,21515,425644,45729.8060441175,1.5,0.99741,881.10369873
Mexico,2007,14.1,9.6999998,15.4,4.5999999,7536182,1908420,5627762,9719.9278639964,3.63,0.8767,560.4942627
Moldova,2007,29.0,19.1,36.099998,4.0999999,577174,66125,511049,1531.21618929808,5.07,0.98778,135.44366455
Pakistan,2007,16.1,16.4,27.5,4.8000002,16980363,2422430,14557934,837.631537927295,0.4,0.59171,26.51110383
Paraguay,2007,21.6,12.3,19.200001,5.4000001,492219,106095,386125,3194.26298162817,4.71,0.95545,160.36560059
Peru,2007,4.9000001,11.2,17.1,5.1999998,2175099,512963,1662136,3572.36358879114,4.08,0.82196,158.16543579
Spain,2007,21.700001,26.200001,30.5,22.1,10049238,4323078,5726160,32591.3503065871,8.23,0.98689,2606.27783203
Tunisia,2007,19.299999,24.0,45.0,3.5999999,1859882,140782,1719100,3678.06152258903,12.36,0.75607,199.6681366
Uruguay,2007,24.6,23.6,27.9,19.700001,604913,265621,339292,7149.37463386796,9.4,0.98632,572.52435303
Albania,2008,19.200001,19.1,34.900002,3.4000001,455797,40251,415547,4370.53971115737,13.06,0.96574,240.44338989
Algeria,2008,23.299999,11.4,21.9,0.80000001,2962131,101419,2860712,4946.56401720759,11.33,0.79677,207.84881592
Bolivia,2008,2.9000001,25.200001,39.599998,11.3,1562181,355381,1206800,1687.57856734657,2.6,0.83337,77.74305725
Brazil,2008,27.0,14.6,18.0,11.4,20612448,8268533,12343915,8801.75947547502,8.27,0.8271,705.13397217
Burundi,2008,7.0999999,12.8,18.299999,7.5999999,618694,184917,433777,194.710634589705,1.63,0.64604,17.98236084
Cambodia,2008,10.2,19.700001,37.5,3.5999999,1832620,178254,1654366,742.397972379419,0.82,0.82404,49.00638199
Chile,2008,10.2,28.1,31.299999,25.0,3630699,1647383,1983316,10783.1708210632,9.29,0.94944,726.73669434
Colombia,2008,13.8,11.0,16.4,5.8000002,3490329,958044,2532285,5534.68944688199,10.52,0.88827,378.18411255
Ecuador,2008,18.700001,6.0999999,9.1999998,3.0,601798,149541,452257,4260.43318396471,3.92,0.88172,229.09944153
El Salvador,2008,17.4,9.1000004,17.1,2.4000001,373409,51978,321431,2964.172140237,5.88,0.83042,251.8334198
Indonesia,2008,10.9,28.9,54.400002,3.5999999,47372684,2981524,44391159,2144.38954419985,7.21,0.93282,59.79582214
Mexico,2008,13.9,9.3999996,14.9,4.5,7440285,1883048,5557237,10119.8210567984,3.87,0.87477,576.71539307
Morocco,2008,15.1,13.5,27.1,0.69999999,2960302,77205,2883098,3180.17065429688,9.57,0.53991,153.10005188
Oman,2008,41.299999,7.9000001,12.8,0.69999999,140499,5101,135397,22974.2773504319,4.14,0.90119,462.29165649
Pakistan,2008,16.1,16.200001,27.1,4.6999998,17145278,2458253,14687025,914.731489303734,0.42,0.65056,24.80974933
Paraguay,2008,22.1,12.0,18.799999,5.1999998,492697,105775,386922,4360.42910071309,4.42,0.91695,219.66795349
Spain,2008,21.4,25.700001,30.0,21.700001,9999135,4289375,5709760,35510.7222312701,11.25,0.9866,2995.18603516
Sri Lanka,2008,8.1999998,11.6,22.799999,0.89999998,1778265,73069,1705196,2007.02666020999,5.22,0.96911,91.52586365
Sudan,2008,16.1,5.5999999,9.6999998,1.6,1382032,193047,1188985,1585.58251953125,14.8,0.82688,92.22005463
Tunisia,2008,19.0,24.1,44.900002,3.8,1897877,152583,1745294,4200.17378015743,12.44,0.75585,227.52876282
Uruguay,2008,25.299999,22.9,27.200001,19.1,591262,258597,332665,9328.06585662206,8.03,0.98797,803.44226074
Azerbaijan,2009,16.5,21.6,43.700001,0.89999998,1493864,31062,1462802,4950.39743713656,5.74,1.00042,126.94858551
Belarus,2009,28.4,25.299999,43.400002,10.0,2046281,441437,1604844,5352.48959072155,6.1,0.99106,281.03240967
Bolivia,2009,3.0,24.700001,39.0,10.9,1569468,351060,1218408,1725.14628617645,2.97,0.86243,89.26693726
Brazil,2009,26.200001,14.4,17.6,11.3,20627616,8325247,12302368,8569.90180523381,9.42,0.83397,719.42651367
Cambodia,2009,10.3,19.4,37.0,3.5999999,1858134,179056,1679078,734.815118591223,0.58,0.81361,55.72327423
Chile,2009,9.8999996,28.200001,31.6,25.0,3710267,1673561,2036706,10182.8605646819,11.31,0.94569,738.284729
Colombia,2009,12.8,11.1,16.799999,5.6999998,3591359,953442,2637917,5245.9516649172,11.32,0.89576,383.43283081
Ecuador,2009,17.700001,6.0999999,9.3000002,3.0,621904,151570,470334,4240.70259271564,4.61,0.88083,241.67927551
El Salvador,2009,17.6,9.1000004,17.1,2.3,378491,52827,325664,2889.68588721937,7.33,0.82006,255.38142395
Greece,2009,22.5,38.099998,43.599998,32.799999,3617641,1590353,2027287,29828.7560245271,9.62,0.91542,2809.05957031
Indonesia,2009,10.9,29.200001,55.0,3.5,48552921,2953298,45599622,2239.09526528198,6.11,0.93324,62.98189545
Kazakhstan,2009,21.200001,23.5,42.799999,6.3000002,2787315,392633,2394682,7165.22479413309,6.55,0.99753,245.9894104
Mexico,2009,14.0,9.3000002,14.7,4.5,7514808,1910129,5604678,8104.92257319862,5.36,0.88605,496.81427002
Moldova,2009,32.900002,19.200001,36.299999,4.1999998,574764,66909,507855,1898.43968295549,6.4,0.99194,208.53004456
Morocco,2009,14.8,13.4,27.0,0.69999999,3004072,80706,2923366,3118.1416015625,8.96,0.55539,165.44444275
Mozambique,2009,4.9000001,11.3,19.9,3.5,1439937,232116,1207821,531.026967149674,3.19,0.53417,27.63427162
Pakistan,2009,16.1,15.9,26.700001,4.6999998,17327739,2495907,14831831,884.44101417044,0.54,0.60841,23.664251
Paraguay,2009,22.5,11.8,18.5,5.0999999,496441,106080,390361,3920.18607347104,5.46,0.92406,216.58901978
Senegal,2009,12.0,7.1999998,14.3,0.80000001,513357,30704,482653,1323.9712249327,10.194,0.47411,50.8613205
South Africa,2009,12.4,14.5,20.9,8.5,5161060,1587899,3573161,6444.18672009771,20.51,0.90017,492.94265747
Spain,2009,21.200001,25.299999,29.6,21.200001,9894596,4232287,5662308,32169.5028548583,17.86,0.98777,2937.71826172
Togo,2009,24.9,6.0999999,11.2,1.2,214949,21439,193510,717.677304981008,2.875,0.59821,29.0416832
Uruguay,2009,25.9,22.4,26.6,18.5,580974,252997,327977,9780.73947340076,7.74,1.01174,817.64227295
Vietnam,2009,14.8,20.200001,40.0,1.4,13515037,478378,13036659,1225.84500946092,1.74,0.94889,64.89073181
Azerbaijan,2010,16.799999,21.9,44.299999,0.89999998,1540019,31967,1508052,5843.5337683582,5.63,1.00037,142.61262512
Brazil,2010,25.0,14.2,17.299999,11.2,20588408,8384267,12204141,11249.2937410718,8.034,0.82854,893.77508545
Cameroon,2010,13.6,7.0,13.6,0.60000002,818620,32705,785915,1383.81386416854,4.11,0.63637,49.50485611
Chile,2010,9.6999998,28.4,31.799999,25.0,3786592,1702645,2083947,12767.7820406263,8.41,0.94749,870.70959473
Colombia,2010,11.8,11.2,17.200001,5.5999999,3713005,956073,2756932,6392.75802564032,10.98,0.89882,452.15301514
Dominican Republic,2010,14.5,10.9,13.2,8.6000004,751484,299308,452177,5509.56805406696,5.21,0.89087,271.26663208
Ecuador,2010,16.799999,6.1999998,9.5,3.0,643370,154117,489254,4640.24634437845,4.09,0.87649,283.82284546
El Salvador,2010,17.6,9.1000004,17.1,2.4000001,385591,54147,331444,3017.3073947577,4.89,0.82181,268.66708374
Ghana,2010,15.3,3.8,6.8000002,1.0,563602,73029,490572,1258.96390342222,5.38,0.71181,71.61212158
Guinea,2010,1.8,6.3000002,11.2,1.4,390739,45147,345593,667.281601915278,4.782,0.35749,22.87328911
Honduras,2010,12.6,11.3,21.0,1.9,545677,46219,499458,1874.27170372599,4.12,0.84318,163.53704834
Jordan,2010,13.4,25.6,42.400002,8.1000004,1074351,165824,908527,3914.70123105389,12.5,0.93656,319.84109497
Kuwait,2010,21.5,24.0,36.5,3.0999999,537624,25796,511828,39212.6352806064,1.82,0.99263,1050.42126465
Malaysia,2010,15.7,18.9,37.700001,1.2,3864928,124075,3740853,8880.14603964288,3.39,0.9365,285.02639771
Mali,2010,8.6000004,10.3,17.6,3.0,763965,110698,653266,688.327865548408,1.333,0.38644,32.20457458
Mexico,2010,13.4,9.5,14.9,4.5999999,7810113,2005244,5804869,9399.96470859669,5.3,0.88094,539.26550293
Moldova,2010,34.599998,19.4,36.700001,4.3000002,578451,67851,510601,2436.7993586401,7.45,0.99196,198.28894043
Mongolia,2010,13.3,24.6,44.099998,5.5999999,486670,56230,430440,2660.28817572742,6.55,0.97163,99.48032379
Oman,2010,37.400002,8.3999996,13.2,0.80000001,170948,5869,165079,22552.1990071233,4.007,0.91014,558.36657715
Pakistan,2010,16.0,15.7,26.299999,4.5999999,17530431,2540134,14990298,911.089996122843,0.65,0.61844,24.20984124
Panama,2010,29.6,8.1999998,13.3,3.0999999,213361,39826,173535,8124.55830734871,5.875,0.8793,608.2467041
Paraguay,2010,22.799999,11.7,18.299999,5.0,501785,106766,395018,4702.91576988272,4.57,0.92679,257.05856323
South Africa,2010,12.1,14.6,21.1,8.6000004,5265381,1622558,3642822,8059.56284101092,23.18,0.89687,628.12860107
Spain,2010,20.9,25.0,29.299999,20.9,9831673,4191880,5639793,30532.4805081663,19.86,0.98892,2789.63720703
Sri Lanka,2010,8.1000004,11.8,23.4,1.0,1840304,76314,1763990,2836.97409785065,4.78,0.97199,106.14399719
Thailand,2010,12.8,19.5,37.799999,2.3,10462808,627726,9835082,4996.37209760091,0.62,0.99721,169.38200378
Tunisia,2010,18.5,24.299999,45.0,4.3000002,1975510,176285,1799224,4241.01190951928,13.05,0.77074,237.90208435
Uganda,2010,2.9000001,8.1000004,14.6,1.5,1399248,132844,1266404,824.737671173843,3.587,0.7776,51.96447372
Uruguay,2010,25.9,22.200001,26.5,18.4,580853,252306,328547,12512.5941268441,7.16,0.98918,1032.65795898
Zambia,2010,6.4000001,11.3,20.6,2.0999999,792719,72404,720315,1469.36145002684,13.19,0.79025,54.64538956
Afghanistan,2011,5.0999999,11.9,21.200001,2.5,1800309,186782,1613527,621.912413814308,7.947,0.44478,52.36304855
Albania,2011,19.700001,20.1,36.700001,3.8,494981,46461,448520,4437.14114631148,13.48,0.98363,271.95718384
Armenia,2011,23.4,26.6,51.299999,1.7,626850,20498,606352,3462.6817742332,10.917,0.99665,324.65719604
Azerbaijan,2011,17.0,22.200001,44.700001,0.89999998,1582090,32782,1549308,7189.81515142228,5.42,1.00035,172.39854431
Bangladesh,2011,3.2,22.4,43.0,1.4,23586140,724048,22862092,856.381886818701,3.75,0.73623,23.28593445
Bolivia,2011,3.0999999,24.4,38.5,10.7,1620867,360349,1260519,2304.98229547312,2.25,0.85976,119.23861694
Brazil,2011,23.799999,14.0,16.9,11.2,20620992,8468347,12152644,13200.5581661879,7.58,0.84332,1028.0847168
Bulgaria,2011,18.1,33.599998,40.799999,26.9,2148719,888978,1259741,7856.9859584228,11.26,0.97951,555.86419678
Chile,2011,9.3999996,28.5,32.0,25.1,3858663,1732473,2126190,14628.5724573037,7.32,0.93613,994.66607666
Colombia,2011,10.9,11.3,17.299999,5.5999999,3798307,974158,2824148,7392.9435995632,10.11,0.89641,501.26507568
Costa Rica,2011,19.1,12.2,16.5,7.6999998,435146,136745,298401,9137.45510202159,9.52,0.97016,742.14190674
Croatia,2011,27.1,28.0,36.099998,20.700001,1027558,396421,631137,14623.9905306334,13.68,0.99139,1132.49890137
Cyprus,2011,29.200001,31.200001,46.400002,17.299999,226357,65056,161301,32485.802734375,7.86,0.99097,2114.66894531
Dominican Republic,2011,14.0,11.0,13.3,8.6999998,772920,308817,464104,5859.38154480292,6.09,0.89118,295.19439697
Ecuador,2011,15.8,6.3000002,9.6999998,2.9000001,664815,156846,507968,5202.65645902066,3.46,0.85323,336.99700928
El Salvador,2011,17.5,9.1999998,17.200001,2.4000001,393445,55704,337741,3304.97418347889,4.3,0.83266,293.3677063
Estonia,2011,23.799999,26.5,38.599998,16.5,300708,102641,198068,17487.8047830923,12.33,0.99957,1015.96826172
Greece,2011,21.5,36.400002,41.099998,31.9,3460576,1548718,1911859,25483.8825644933,17.86,0.96659,2338.91503906
