Country Name,Country Code,Year,GDP per capita,Unemployment,Literacy,Health expenditure
Colombia,COL,2010,6392.75802564032,10.98,0.89882,452.15301514
Dominican Republic,DOM,2010,5509.56805406696,5.21,0.89087,271.26663208
Ecuador,ECU,2010,4640.24634437845,4.09,0.87649,283.82284546
"Egypt, Arab Rep.",EGY,2010,2509.77203417522,8.756,0.78502,107.41892242
El Salvador,SLV,2010,3017.3073947577,4.89,0.82181,268.66708374
Ghana,GHA,2010,1258.96390342222,5.38,0.71181,71.61212158
Guinea,GIN,2010,667.281601915278,4.782,0.35749,22.87328911
Honduras,HND,2010,1874.27170372599,4.12,0.84318,163.53704834
Jordan,JOR,2010,3914.70123105389,12.5,0.93656,319.84109497
Kuwait,KWT,2010,39212.6352806064,1.82,0.99263,1050.42126465
Malaysia,MYS,2010,8880.14603964288,3.39,0.9365,285.02639771
Mali,MLI,2010,688.327865548408,1.333,0.38644,32.20457458
Mexico,MEX,2010,9399.96470859669,5.3,0.88094,539.26550293
Moldova,MDA,2010,2436.7993586401,7.45,0.99196,198.28894043
Mongolia,MNG,2010,2660.28817572742,6.55,0.97163,99.48032379
Oman,OMN,2010,22552.1990071233,4.007,0.91014,558.36657715
Pakistan,PAK,2010,911.089996122843,0.65,0.61844,24.20984124
Panama,PAN,2010,8124.55830734871,5.875,0.8793,608.2467041
Paraguay,PRY,2010,4702.91576988272,4.57,0.92679,257.05856323
Russian Federation,RUS,2010,10674.990234375,7.37,0.99438,567.02624512
South Africa,ZAF,2010,8059.56284101092,23.18,0.89687,628.12860107
Spain,ESP,2010,30532.4805081663,19.86,0.98892,2789.63720703
Sri Lanka,LKA,2010,2836.97409785065,4.78,0.97199,106.14399719
Thailand,THA,2010,4996.37209760091,0.62,0.99721,169.38200378
Timor-Leste,TLS,2010,810.141609538386,3.3,0.55323,52.4311409
Tunisia,TUN,2010,4241.01190951928,13.05,0.77074,237.90208435
Uganda,UGA,2010,824.737671173843,3.587,0.7776,51.96447372
Uruguay,URY,2010,12512.5941268441,7.16,0.98918,1032.65795898
Zambia,ZMB,2010,1469.36145002684,13.19,0.79025,54.64538956
Afghanistan,AFG,2011,621.912413814308,7.947,0.44478,52.36304855
Albania,ALB,2011,4437.14114631148,13.48,0.98363,271.95718384
Armenia,ARM,2011,3462.6817742332,10.917,0.99665,324.65719604
Azerbaijan,AZE,2011,7189.81515142228,5.42,1.00035,172.39854431
Bangladesh,BGD,2011,856.381886818701,3.75,0.73623,23.28593445
Bolivia,BOL,2011,2304.98229547312,2.25,0.85976,119.23861694
Brazil,BRA,2011,13200.5581661879,7.58,0.84332,1028.0847168
Brunei Darussalam,BRN,2011,46139.1068369475,6.69,0.9757,860.07781982
Bulgaria,BGR,2011,7856.9859584228,11.26,0.97951,555.86419678
