Country Name,Year,Data.Daily cigarettes,Data.Percentage.Male,Data.Percentage.Female,Data.Percentage.Total,Data.Smokers.Total,Data.Smokers.Female,Data.Smokers.Male,GDP per capita,Unemployment,Literacy,Health expenditure
Macedonia,1980,22.9,35,44.400002,25.5,469403,169942,299461,,,,
Madagascar,1980,7.1999998,22.4,38.200001,6.5,1051925,152079,899847,581.3281374,,,
Malawi,1980,17.4,13,23.799999,3.3,428945,57351,371594,287.3865439,,,
Malaysia,1980,24.299999,23.6,45.5,1.8,1994018,78128,1915890,1852.963367,,,
Maldives,1980,27.4,20.799999,31.200001,8.5,17679,3317,14362,257.531377,,,
Mali,1980,5.8000002,10.4,17.9,3.0999999,394923,59944,334979,238.6804815,,,
Malta,1980,36.299999,25.9,31.200001,21.1,65589,27801,37788,3948.403126,,,
Marshall Islands,1980,22.1,19.5,33.599998,4.5999999,3256,377,2879,,,,
Mauritania,1980,14,9.3000002,15.9,2.9000001,77741,12290,65450,695.5128444,,,
Mauritius,1980,23.6,21.1,39.799999,3.3,130932,10451,120481,1171.577358,,,
Mexico,1980,15.6,26,39,13.4,10121218,2656644,7464574,3036.355012,,,
Micronesia,1980,21.5,26,42,10,10014,1907,8107,,,,
Moldova,1980,29.9,25.799999,48.700001,6.1999998,757212,98519,658693,,,,
Mongolia,1980,12.4,20.9,37.700001,4.8000002,198955,23476,175479,,,,
Montenegro,1980,21.6,27,35.099998,19.200001,112634,41055,71580,,,,
Morocco,1980,22.9,13.5,26.9,0.69999999,1495750,42416,1453334,1097.664917,,,
Mozambique,1980,4.3000002,12.3,21.700001,3.5999999,837302,125855,711447,,,0.35947,
Myanmar,1980,27.6,21.5,38,6.1999998,4369829,646665,3723164,30.19791486,,,
Namibia,1980,6.4000001,17.6,25.4,10.5,95237,29561,65675,2481.56357,,,
Nepal,1980,6.4000001,34.299999,47.5,20.700001,2890526,860585,2029942,124.7347084,,,
Netherlands,1980,11.2,29.4,34.400002,24.700001,3235451,1376557,1858895,13791.86226,,,
New Zealand,1980,19.5,32.400002,34.599998,30.200001,741719,351586,390134,7467.168038,,,
Nicaragua,1980,27,16,26.1,6.1999998,275904,53370,222534,649.1369733,,,
Niger,1980,6.3000002,5.4000001,8.8000002,2.3,166600,37031,129569,406.3587867,,,
Nigeria,1980,7.6999998,9.5,15.1,3.8,3902789,772854,3129935,880.0619837,,,
North Korea,1980,18,22.700001,44.900002,3.5,2512252,208822,2303430,,,,
Norway,1980,4.8000002,34.400002,39.200001,29.799999,1094038,482464,611575,15772.16108,,,
Oman,1980,41.700001,9.6000004,16.6,1.3,60767,3743,57024,5879.09946,,,
Pakistan,1980,18.200001,20.1,33,5.5,9112204,1178137,7934067,293.3918898,,,
Palestine,1980,12.6,25.9,48,3.5999999,196221,13437,182784,,,,
Panama,1980,23.200001,10.1,16.200001,3.8,118686,22375,96311,2357.750154,,0.82076,
